,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow
0,5.0,4.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,2.0,20.0,163.0,48.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
1,5.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0,4.0,19.0,163.0,58.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
2,5.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,20.0,176.0,67.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
4,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,20.0,170.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
5,5.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
6,4.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,2.0,20.0,177.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
7,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,19.0,184.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
9,5.0,2.0,1.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,19.0,174.0,60.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
10,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,3.0,19.0,175.0,60.0,2.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
11,5.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,17.0,176.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
12,5.0,1.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,24.0,168.0,55.0,10.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
13,5.0,3.0,2.0,5.0,5.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,19.0,165.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
14,4.0,1.0,3.0,5.0,4.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,22.0,175.0,57.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
16,5.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,19.0,175.0,65.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
18,5.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,18.0,181.0,78.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
19,3.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,18.0,188.0,90.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
20,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
21,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,24.0,186.0,85.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
23,5.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,20.0,168.0,54.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
24,5.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,19.0,167.0,51.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
25,5.0,1.0,2.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,20.0,170.0,56.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
26,5.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,22.0,165.0,63.0,1.0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
28,5.0,3.0,3.0,5.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,20.0,187.0,80.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
29,5.0,3.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,19.0,168.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
30,5.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,25.0,183.0,87.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
31,4.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,22.0,177.0,80.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
32,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,20.0,158.0,46.0,4.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
33,4.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,2.0,3.0,27.0,170.0,70.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
34,5.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,1.0,5.0,20.0,177.0,67.0,5.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
35,5.0,1.0,2.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,19.0,170.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
36,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,18.0,173.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
38,5.0,1.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,23.0,168.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
39,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,21.0,155.0,46.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
40,5.0,1.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,26.0,172.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
41,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,20.0,188.0,80.0,3.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
42,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,19.0,170.0,90.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
43,5.0,1.0,1.0,5.0,4.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,20.0,163.0,55.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
44,5.0,3.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,3.0,25.0,170.0,67.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
48,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,20.0,171.0,70.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
49,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,20.0,157.0,41.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
50,5.0,1.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,19.0,175.0,60.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,160.0,58.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
53,5.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,1.0,5.0,18.0,164.0,51.0,4.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
54,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,21.0,160.0,57.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
55,5.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,23.0,165.0,45.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
57,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,21.0,157.0,45.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
59,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,22.0,178.0,74.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
60,5.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,23.0,175.0,72.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
61,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,23.0,165.0,56.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
62,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,23.0,189.0,81.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
64,5.0,2.0,1.0,5.0,5.0,1.0,3.0,5.0,5.0,2.0,1.0,2.0,18.0,180.0,52.0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
65,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,17.0,185.0,84.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
66,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,20.0,183.0,83.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
67,5.0,3.0,3.0,5.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,24.0,160.0,58.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
68,5.0,1.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,18.0,162.0,50.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
70,5.0,1.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,17.0,185.0,82.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1
71,4.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,5.0,20.0,175.0,83.0,1.0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
73,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,21.0,177.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1
74,5.0,1.0,1.0,5.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,22.0,190.0,80.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
75,4.0,2.0,3.0,5.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,20.0,192.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
77,5.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,21.0,175.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
79,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,21.0,173.0,63.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
80,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,19.0,163.0,48.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
81,5.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,22.0,177.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
82,5.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,18.0,163.0,47.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
85,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,22.0,159.0,53.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
86,5.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,24.0,179.0,65.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
88,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,5.0,21.0,164.0,75.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
89,5.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,22.0,156.0,50.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
90,4.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,5.0,19.0,154.0,58.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
92,5.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,19.0,170.0,63.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
95,5.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,5.0,21.0,180.0,75.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
96,2.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,19.0,182.0,81.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
97,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,19.0,200.0,75.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
98,3.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,22.0,187.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
99,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,18.0,162.0,50.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
100,5.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,21.0,172.0,71.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
101,4.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,18.0,194.0,90.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
104,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,21.0,180.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
105,4.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,3.0,24.0,178.0,74.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
106,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,19.0,182.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
108,5.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,17.0,168.0,61.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
109,5.0,1.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,18.0,176.0,65.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
110,4.0,1.0,2.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,21.0,185.0,70.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
111,4.0,1.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,2.0,4.0,22.0,166.0,56.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
112,5.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,2.0,20.0,163.0,54.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
114,5.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,19.0,163.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
116,4.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,21.0,169.0,61.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
117,4.0,1.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,18.0,165.0,55.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
118,5.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,23.0,175.0,60.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
119,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,16.0,161.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
120,3.0,1.0,3.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,23.0,188.0,90.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0
121,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,21.0,180.0,85.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
122,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,23.0,156.0,56.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
123,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,20.0,172.0,80.0,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
125,5.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,20.0,157.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
126,3.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,20.0,163.0,56.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
127,5.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,19.0,177.0,64.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
128,5.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,15.0,173.0,49.0,3.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
129,5.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,20.0,178.0,75.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
131,5.0,3.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,18.0,193.0,103.0,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
132,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,1.0,3.0,15.0,170.0,51.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
133,5.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,1.0,4.0,20.0,170.0,50.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
134,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,16.0,170.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
135,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,18.0,185.0,62.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
136,5.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,21.0,185.0,90.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
139,5.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,19.0,168.0,53.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
141,3.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,19.0,170.0,65.0,1.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
147,5.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,18.0,185.0,83.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
148,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,20.0,165.0,55.0,3.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
150,5.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0,22.0,177.0,61.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
151,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,20.0,180.0,100.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
152,5.0,5.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,2.0,4.0,25.0,170.0,72.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
154,4.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,1.0,5.0,3.0,4.0,24.0,185.0,81.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
155,4.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,19.0,171.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
156,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,25.0,177.0,97.0,1.0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
157,5.0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,26.0,175.0,60.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
158,5.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,2.0,1.0,4.0,15.0,160.0,48.0,2.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
160,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0,19.0,194.0,79.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
161,5.0,2.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,1.0,5.0,20.0,172.0,73.0,2.0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
163,4.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,22.0,184.0,71.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
165,5.0,1.0,1.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,20.0,168.0,60.0,1.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
166,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,21.0,161.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
168,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,20.0,180.0,71.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
169,5.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,19.0,157.0,57.0,2.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
171,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,20.0,180.0,72.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
172,3.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,22.0,191.0,85.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
173,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,21.0,187.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
175,4.0,2.0,4.0,5.0,5.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,17.0,163.0,61.0,2.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
