,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow
372,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,20.0,187.0,56.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
374,5.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,21.0,176.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
377,5.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,17.0,158.0,70.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
379,5.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,25.0,174.0,67.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
380,5.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,20.0,170.0,58.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
381,5.0,1.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,21.0,173.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
383,5.0,5.0,5.0,5.0,4.0,2.0,1.0,4.0,4.0,5.0,1.0,5.0,22.0,185.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
385,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,25.0,178.0,77.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
386,4.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,19.0,166.0,55.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
387,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,25.0,167.0,64.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
388,5.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,1.0,5.0,25.0,169.0,60.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
389,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,21.0,168.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
390,5.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,20.0,178.0,65.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
391,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,24.0,165.0,49.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
392,5.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,30.0,160.0,47.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
393,5.0,5.0,4.0,3.0,1.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,21.0,176.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
394,4.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,27.0,186.0,77.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
395,5.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,21.0,172.0,68.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
399,5.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,22.0,160.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
400,5.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,19.0,180.0,80.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
401,4.0,2.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,20.0,170.0,90.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
403,4.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,4.0,5.0,3.0,3.0,23.0,175.0,79.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
404,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,20.0,167.0,57.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
406,5.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,21.0,168.0,60.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
407,5.0,3.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,19.0,166.0,44.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
408,4.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,2.0,21.0,164.0,58.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
409,5.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,16.0,165.0,50.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
410,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,180.0,88.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
411,5.0,1.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,18.0,173.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
412,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,21.0,168.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
413,5.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,21.0,177.0,68.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
414,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,18.0,167.0,56.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
415,5.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,1.0,1.0,19.0,173.0,69.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
417,5.0,5.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,18.0,180.0,60.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
418,5.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,18.0,172.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
419,3.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,2.0,4.0,23.0,158.0,53.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
420,5.0,1.0,3.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,1.0,4.0,20.0,165.0,52.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
421,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,18.0,168.0,55.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
425,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,21.0,161.0,57.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
426,4.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,22.0,160.0,65.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
427,5.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,19.0,180.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
428,5.0,1.0,3.0,4.0,5.0,3.0,1.0,5.0,5.0,3.0,1.0,3.0,18.0,164.0,56.0,2.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
430,5.0,1.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,19.0,170.0,53.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
431,5.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,19.0,185.0,78.0,2.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
432,4.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,20.0,184.0,80.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
433,5.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,19.0,170.0,56.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
434,5.0,1.0,3.0,4.0,1.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,18.0,184.0,83.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
435,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,18.0,173.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
436,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,19.0,176.0,62.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
438,5.0,1.0,2.0,4.0,5.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,18.0,180.0,74.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
439,5.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,19.0,175.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
440,5.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,19.0,164.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
442,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,18.0,163.0,58.0,6.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
443,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,18.0,162.0,54.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
444,5.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,19.0,170.0,54.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
445,5.0,1.0,2.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,1.0,3.0,20.0,157.0,43.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
446,5.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,19.0,185.0,70.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
447,4.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,26.0,163.0,55.0,3.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
448,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,19.0,168.0,49.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
450,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,22.0,178.0,82.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
451,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,20.0,165.0,65.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
452,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,28.0,180.0,63.0,2.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
454,5.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,4.0,1.0,3.0,21.0,156.0,48.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
455,5.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,3.0,1.0,5.0,19.0,175.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
456,5.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,22.0,188.0,80.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
457,5.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,4.0,2.0,5.0,19.0,181.0,62.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
459,5.0,1.0,2.0,5.0,4.0,1.0,2.0,5.0,5.0,4.0,2.0,1.0,19.0,166.0,62.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
460,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,22.0,189.0,78.0,2.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
461,4.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,29.0,189.0,96.0,3.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1
463,5.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,18.0,164.0,60.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
464,3.0,1.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,22.0,172.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
465,5.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,17.0,157.0,46.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
467,5.0,2.0,2.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,20.0,161.0,46.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
470,4.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,19.0,167.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
471,5.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,20.0,178.0,74.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
472,3.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,25.0,186.0,78.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
480,5.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,21.0,161.0,55.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
482,5.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,22.0,189.0,82.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
486,5.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,28.0,171.0,57.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
488,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,22.0,177.0,75.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
489,5.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,20.0,160.0,49.0,2.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
490,1.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,16.0,168.0,50.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
491,5.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,19.0,165.0,56.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
492,5.0,1.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,20.0,163.0,68.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
493,5.0,3.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,21.0,185.0,78.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
494,5.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,19.0,165.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
496,4.0,3.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,25.0,170.0,52.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
498,5.0,1.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,19.0,170.0,50.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
500,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,19.0,172.0,58.0,2.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
501,4.0,4.0,5.0,3.0,5.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,21.0,179.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
503,5.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,28.0,176.0,60.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
504,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,21.0,168.0,50.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
505,5.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,20.0,177.0,75.0,3.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
506,5.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,19.0,189.0,83.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
507,4.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,2.0,21.0,168.0,53.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
510,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,22.0,176.0,70.0,1.0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
511,5.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,19.0,185.0,75.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
513,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,20.0,178.0,74.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
514,5.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,22.0,178.0,66.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0
515,5.0,5.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,5.0,19.0,187.0,69.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
518,4.0,1.0,2.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,4.0,18.0,171.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
519,4.0,3.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,19.0,185.0,74.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
520,5.0,2.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,23.0,174.0,62.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
521,5.0,3.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,20.0,157.0,57.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
522,5.0,1.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,18.0,165.0,57.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
528,5.0,2.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,20.0,185.0,85.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
529,4.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,20.0,180.0,68.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
530,4.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,5.0,1.0,5.0,28.0,172.0,50.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
531,5.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,22.0,189.0,68.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
532,5.0,4.0,3.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,1.0,3.0,19.0,170.0,65.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
533,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,21.0,184.0,82.0,3.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
535,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,17.0,175.0,60.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
536,5.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,5.0,19.0,168.0,57.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
537,5.0,2.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,25.0,190.0,82.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
538,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,20.0,170.0,52.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
539,5.0,2.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,4.0,3.0,26.0,194.0,85.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
541,5.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,20.0,175.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
544,5.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,21.0,175.0,75.0,2.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
545,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,20.0,176.0,70.0,3.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
546,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,27.0,178.0,77.0,3.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
547,5.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,21.0,203.0,80.0,2.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
550,5.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,17.0,163.0,49.0,3.0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
553,4.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,18.0,170.0,53.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
554,4.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,19.0,178.0,65.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
555,4.0,2.0,4.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,21.0,167.0,63.0,1.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
557,5.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,20.0,170.0,55.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
559,5.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,20.0,173.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
561,4.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,20.0,185.0,86.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
564,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,20.0,180.0,75.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
566,5.0,1.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,19.0,175.0,76.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
568,5.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,23.0,172.0,64.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
569,5.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,20.0,165.0,48.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
573,5.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,17.0,183.0,75.0,3.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
574,5.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,20.0,178.0,58.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
